STRUCT	ENCUT	KX	KY	KZ	ENERGY	VOLUME
AlTc	700.0	08	08	08	-410.79755082	1888.23
AlTc	700.0	08	08	08	-408.99444900	1943.76
AlTe	700.0	08	08	08	-398.12518994	1626.38
AlTe	700.0	08	08	08	-400.56550416	1676.68
AlTe	700.0	08	08	08	-402.04977104	1728.00
AlTe	700.0	08	08	08	-402.67073024	1780.36
AlTe	700.0	08	08	08	-402.51411610	1833.77
AlTe	700.0	08	08	08	-401.66027268	1888.23
AlTe	700.0	08	08	08	-400.18426684	1943.76
AlTl	700.0	08	08	08	-397.13335930	1626.38
AlTl	700.0	08	08	08	-399.54777583	1676.68
AlTl	700.0	08	08	08	-401.01081602	1728.00
AlTl	700.0	08	08	08	-401.61526855	1780.36
AlTl	700.0	08	08	08	-401.44640974	1833.77
AlTl	700.0	08	08	08	-400.58349431	1888.23
AlTl	700.0	08	08	08	-399.10107171	1943.76
AlV	700.0	08	08	08	-406.89016032	1626.38
AlV	700.0	08	08	08	-408.98393737	1676.68
AlV	700.0	08	08	08	-410.13280004	1728.00
AlV	700.0	08	08	08	-410.42996206	1780.36
AlV	700.0	08	08	08	-409.96137308	1833.77
AlV	700.0	08	08	08	-408.80687339	1888.23
AlV	700.0	08	08	08	-407.04070895	1943.76
AlW	700.0	08	08	08	-410.49439391	1626.38
AlW	700.0	08	08	08	-412.62872559	1676.68
AlW	700.0	08	08	08	-413.80686400	1728.00
AlW	700.0	08	08	08	-414.12346089	1780.36
AlW	700.0	08	08	08	-413.66590736	1833.77
AlW	700.0	08	08	08	-412.51537387	1888.23
AlW	700.0	08	08	08	-410.74729181	1943.76
AlY	700.0	08	08	08	-403.12439728	1626.38
AlY	700.0	08	08	08	-405.60371826	1676.68
AlY	700.0	08	08	08	-407.12235840	1728.00
AlY	700.0	08	08	08	-407.77262969	1780.36
AlY	700.0	08	08	08	-407.63980717	1833.77
AlY	700.0	08	08	08	-406.80335810	1888.23
AlY	700.0	08	08	08	-405.33753347	1943.76
AlZn	700.0	08	08	08	-398.10972585	1626.38
AlZn	700.0	08	08	08	-400.26076661	1676.68
AlZn	700.0	08	08	08	-401.47720784	1728.00
AlZn	700.0	08	08	08	-401.85116026	1780.36
AlZn	700.0	08	08	08	-401.46666567	1833.77
AlZn	700.0	08	08	08	-400.40147480	1888.23
AlZn	700.0	08	08	08	-398.72836229	1943.76
AlZr	700.0	08	08	08	-406.23785084	1626.38
AlZr	700.0	08	08	08	-408.57841228	1676.68
AlZr	700.0	08	08	08	-409.95780623	1728.00
AlZr	700.0	08	08	08	-410.46904035	1780.36
AlZr	700.0	08	08	08	-410.19805275	1833.77
AlZr	700.0	08	08	08	-409.22494283	1888.23
AlZr	700.0	08	08	08	-407.62449489	1943.76
